,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Financing cash outflow,Income taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Grid Electricity Cost,0.0
4,Operating Expenses,Licensing and Permitting,0.0
5,Operating Expenses,Rent of land,0.0
6,Financing cash outflow,Capital gains taxes payable,0.0
7,Operating Expenses,Labor,0.0
8,Operating Expenses,Total annual maintenance,0.0
9,Operating Expenses,Installation cost,0.0
10,Operating Expenses,Sales tax,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Road tax,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Non-depreciable assets,0.000101010644046949
15,Financing cash outflow,Desalination,0.0010594153717400417
16,Operating Expenses,Desalination Fixed O&M Cost,0.004677415165009006
17,Operating Expenses,Water,0.010791556728232189
18,Financing cash outflow,Compression,0.023951643916412548
19,Operating Expenses,Cash on hand reserve,0.026795182175049843
20,Financing cash outflow,Hydrogen Storage,0.07017506002839384
21,Operating Expenses,Var O&M,0.07144993155746458
22,Operating Expenses,Property insurance,0.08028080276290003
23,Operating Expenses,Solar Plant Fixed O&M Cost,0.13907808825867232
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.2358315708692928
25,Financing cash outflow,Solar Plant,0.23989274150373913
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.4727833417002148
27,Financing cash outflow,Wind Plant,0.8978181600359872
28,Financing cash outflow,Electrolysis system,1.1627404297140826
29,Financing cash outflow,Repayment of debt,1.3633901737504714
30,Financing cash outflow,Dividends paid,1.4839455899317358
31,Financing cash outflow,Interest expense,1.7622449628987977
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.015908608583622637
36,Operating Revenue,Cash on hand recovery,0.026795182175049843
37,Financing cash inflow,One time capital incentive,0.1550339007660665
38,Financing cash inflow,Inflow of debt,1.3633901737504717
39,Operating Revenue,Hydrogen sales,1.6946313000054398
40,Financing cash inflow,Monetized tax losses,2.3418938223432346
41,Financing cash inflow,Inflow of equity,2.449354089388357
