,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
2,Operating Expenses,Grid Electricity Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Financing cash outflow,Capital gains taxes payable,0.0
6,Operating Expenses,Labor,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Financing cash outflow,Battery Storage,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Non-depreciable assets,0.00010459569322975737
14,Financing cash outflow,Desalination,0.0008371963646574508
15,Operating Expenses,Desalination Fixed O&M Cost,0.003696298049468036
16,Operating Expenses,Cash on hand reserve,0.007538206644098069
17,Operating Expenses,Water,0.007678100263852244
18,Financing cash outflow,Compression,0.018927636646856892
19,Operating Expenses,Solar Plant Fixed O&M Cost,0.019454798940734867
20,Financing cash outflow,Solar Plant,0.03641812846873692
21,Operating Expenses,Property insurance,0.03738495453345442
22,Operating Expenses,Var O&M,0.07363966614547454
23,Financing cash outflow,Hydrogen Storage,0.09878190932081246
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.18636442236905248
25,Financing cash outflow,Electrolysis system,0.24652414693037072
26,Financing cash outflow,Repayment of debt,0.37797180352050136
27,Operating Expenses,Wind Plant Fixed O&M Cost,0.5009825106572073
28,Financing cash outflow,Income taxes payable,0.6013018554321341
29,Financing cash outflow,Wind Plant,0.7122785967588576
30,Financing cash outflow,Interest expense,0.8731148661323584
31,Financing cash outflow,Dividends paid,2.3909687719902113
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.0034561215346686305
37,Operating Revenue,Cash on hand recovery,0.007538206644098069
38,Financing cash inflow,Monetized tax losses,0.10525720366306893
39,Financing cash inflow,Inflow of debt,0.37797180352050136
40,Financing cash inflow,Inflow of equity,0.959878024501059
41,Operating Revenue,Hydrogen sales,4.739867104998673
